"day","n","contestant"
2021-08-03,388,"maria"
2021-08-03,333,"pere"
2021-08-03,45,"niyi"
2021-08-03,258,"angel"
2021-08-03,94,"arin"
2021-08-03,112,"boma"
2021-08-03,65,"beatrice"
2021-08-03,88,"cross"
2021-08-03,190,"emmanuel"
2021-08-03,41,"jackie"
2021-08-03,680,"liquorose"
2021-08-03,14,"jaypaul"
2021-08-03,46,"nini"
2021-08-03,31,"peace"
2021-08-03,6,"princess"
2021-08-03,87,"saga"
2021-08-03,44,"sammie"
2021-08-03,43,"saskay"
2021-08-03,20,"tega"
2021-08-03,880,"whitemoney"
2021-08-03,855,"maria"
2021-08-03,776,"pere"
2021-08-03,62,"niyi"
2021-08-03,166,"angel"
2021-08-03,110,"arin"
2021-08-03,436,"boma"
2021-08-03,212,"beatrice"
2021-08-03,126,"cross"
2021-08-03,130,"emmanuel"
2021-08-03,144,"jackie"
2021-08-03,436,"liquorose"
2021-08-03,11,"jaypaul"
2021-08-03,83,"nini"
2021-08-03,34,"peace"
2021-08-03,14,"princess"
2021-08-03,84,"saga"
2021-08-03,42,"sammie"
2021-08-03,55,"saskay"
2021-08-03,23,"tega"
2021-08-03,492,"whitemoney"
2021-08-03,938,"maria"
2021-08-03,980,"pere"
2021-08-03,37,"niyi"
2021-08-03,151,"angel"
2021-08-03,88,"arin"
2021-08-03,453,"boma"
2021-08-03,795,"beatrice"
2021-08-03,125,"cross"
2021-08-03,197,"emmanuel"
2021-08-03,102,"jackie"
2021-08-03,432,"liquorose"
2021-08-03,83,"jaypaul"
2021-08-03,112,"nini"
2021-08-03,20,"peace"
2021-08-03,66,"princess"
2021-08-03,100,"saga"
2021-08-03,43,"sammie"
2021-08-03,102,"saskay"
2021-08-03,68,"tega"
2021-08-03,870,"whitemoney"
2021-08-03,522,"maria"
2021-08-03,751,"pere"
2021-08-03,79,"niyi"
2021-08-03,147,"angel"
2021-08-03,201,"arin"
2021-08-03,97,"boma"
2021-08-03,984,"beatrice"
2021-08-03,106,"cross"
2021-08-03,215,"emmanuel"
2021-08-03,125,"jackie"
2021-08-03,230,"liquorose"
2021-08-03,157,"jaypaul"
2021-08-03,60,"nini"
2021-08-03,65,"peace"
2021-08-03,95,"princess"
2021-08-03,152,"saga"
2021-08-03,49,"sammie"
2021-08-03,125,"saskay"
2021-08-03,32,"tega"
2021-08-03,638,"whitemoney"
2021-08-03,428,"maria"
2021-08-03,264,"pere"
2021-08-03,63,"niyi"
2021-08-03,909,"angel"
2021-08-03,474,"arin"
2021-08-03,78,"boma"
2021-08-03,208,"beatrice"
2021-08-03,389,"cross"
2021-08-03,157,"emmanuel"
2021-08-03,258,"jackie"
2021-08-03,677,"liquorose"
2021-08-03,47,"jaypaul"
2021-08-03,220,"nini"
2021-08-03,61,"peace"
2021-08-03,28,"princess"
2021-08-03,187,"saga"
2021-08-03,122,"sammie"
2021-08-03,53,"saskay"
2021-08-03,160,"tega"
2021-08-03,978,"whitemoney"
2021-08-03,239,"maria"
2021-08-03,244,"pere"
2021-08-03,69,"niyi"
2021-08-03,277,"angel"
2021-08-03,753,"arin"
2021-08-03,46,"boma"
2021-08-03,55,"beatrice"
2021-08-03,777,"cross"
2021-08-03,77,"emmanuel"
2021-08-03,310,"jackie"
2021-08-03,463,"liquorose"
2021-08-03,38,"jaypaul"
2021-08-03,264,"nini"
2021-08-03,65,"peace"
2021-08-03,15,"princess"
2021-08-03,281,"saga"
2021-08-03,219,"sammie"
2021-08-03,9,"saskay"
2021-08-03,40,"tega"
2021-08-03,88,"whitemoney"
2021-08-04,424,"whitemoney"
2021-08-03,86,"maria"
2021-08-04,381,"maria"
2021-08-03,48,"pere"
2021-08-04,271,"pere"
2021-08-03,9,"niyi"
2021-08-04,17,"niyi"
2021-08-03,181,"angel"
2021-08-04,515,"angel"
2021-08-03,52,"arin"
2021-08-04,106,"arin"
2021-08-03,11,"boma"
2021-08-04,327,"boma"
2021-08-03,18,"beatrice"
2021-08-04,246,"beatrice"
2021-08-03,25,"cross"
2021-08-04,456,"cross"
2021-08-03,19,"emmanuel"
2021-08-04,147,"emmanuel"
2021-08-03,80,"jackie"
2021-08-04,451,"jackie"
2021-08-03,87,"liquorose"
