"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@DumoMelaphi But Nini was thinking otherwise that she knows if Saga was not up with her Pere would have saved here,… https://t.co/8i0Wpez43g",FALSE,0,"DumoMelaphi",2021-08-09 23:22:07,TRUE,"1424819433671954437","1424873658183524354","846083629394644996","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","XceptIoNALmoziZ",0,FALSE,FALSE,NA,NA
"RT @MariaChike: Give this regime a name 🤔 #BBNaija https://t.co/c4SsmRCXRy",FALSE,0,NA,2021-08-09 23:22:06,FALSE,NA,"1424873653045452805",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Olabinjo9",26,TRUE,FALSE,NA,NA
"RT @CruiseQueenn: Tega for making liquorose hair you have all my votes this week #BBNaija",FALSE,0,NA,2021-08-09 23:22:06,FALSE,NA,"1424873652521160704",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Sandy_Love90",8,TRUE,FALSE,NA,NA
"RT @brownbutterflyy: The fact that none of these housemates have questioned why the new HMs don’t have their names printed makes me questio…",FALSE,0,NA,2021-08-09 23:22:06,FALSE,NA,"1424873652064071680",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","TeeladVibes",6,TRUE,FALSE,NA,NA
"#bbnaija

Maria , the Queen of content has taken content to the HOH room

Now we get to see more of the HOH room",FALSE,0,NA,2021-08-09 23:22:06,FALSE,NA,"1424873651913076737",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","lopezlomasi",0,FALSE,FALSE,NA,NA
"RT @Omokorede_Koko: Angel is actually better than most of these gals. Looks can be deceiving sha 😂  #BBNaija",FALSE,0,NA,2021-08-09 23:22:05,FALSE,NA,"1424873650960883719",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Ire_oluwa04",8,TRUE,FALSE,NA,NA
"‘Satanic’ #BBNaija should be shut down, says ex-housemate  https://t.co/7AoAdHwjJi",FALSE,0,NA,2021-08-09 23:22:05,FALSE,NA,"1424873649367130122",NA,"<a href=\"https://syndpub.enew.co/\" rel=\"nofollow\">SocialManagerr</a>","Dis_Naija",0,FALSE,FALSE,NA,NA
"RT @Bet9jaOfficial: Maria is the deputy head of house for the week.

#Bet9jaXBBNaija #BBNaija #BBNaijaShineYaEye https://t.co/TvsmJqzFvq",FALSE,0,NA,2021-08-09 23:22:05,FALSE,NA,"1424873648976977923",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","fiona_gramm",55,TRUE,FALSE,NA,NA
"RT @favouredafiogho: Tega is so caring 🥺
She wants to put ori and bandage on Liquorose hand
Please vote for her o🥺
#BBNaija",FALSE,0,NA,2021-08-09 23:22:05,FALSE,NA,"1424873648310075400",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","hikkymiszy",1,TRUE,FALSE,NA,NA
"RT @kennedybrand1: Whitemoney is the only housemate that has a neat bed every day #BBNaija https://t.co/Z85LUJ6Ipj",FALSE,0,NA,2021-08-09 23:22:04,FALSE,NA,"1424873644807839748",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","BayyouXII",121,TRUE,FALSE,NA,NA
