"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Goya_Laura8: Yes oo we pin 

Liquorose the Ultimate 

#LiquoroseForTheMoney 
#BBNaija 
#BBNaijaShineYaEye",FALSE,0,NA,2021-08-02 08:21:52,FALSE,NA,"1422110387214901249",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","iWasiu_Gh",3,TRUE,FALSE,NA,NA
"RT @LayconPR: Laycon Is an A-List Artiste..

King of AfroRap.📌
#BBNaija",FALSE,0,NA,2021-08-02 08:21:52,FALSE,NA,"1422110386933874689",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","tinzybaby",42,TRUE,FALSE,NA,NA
"Awwn Emmanuel made Liquorose’s bed this morning #BBNaija",FALSE,0,NA,2021-08-02 08:21:52,FALSE,NA,"1422110386434674690",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","DaniiUloko",0,FALSE,FALSE,NA,NA
"@SkySportsNews The $BED is an aggregate product of the #Bitcoin   #Ethereum and the $DPI. Having done over 30% in i… https://t.co/VJUeeFcPuK",FALSE,0,"SkySportsNews",2021-08-02 08:21:51,TRUE,"1422110117919707138","1422110384744542210","108568373","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Khislev",0,FALSE,FALSE,NA,NA
"RT @MariaChike: Ready for some #BBNaija spice? Then meet our babe! Maria Chike Benjamin 🥵🥰 #MariaBBN #MariaBBNaija https://t.co/cn3U0FAc8w",FALSE,0,NA,2021-08-02 08:21:51,FALSE,NA,"1422110383637241857",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","TemmyTee2001",320,TRUE,FALSE,NA,NA
"RT @dammiememe: I’ve been seeing tweets saying Nini should date saga and all , so she should just abandon her relationships outside the hou…",FALSE,0,NA,2021-08-02 08:21:51,FALSE,NA,"1422110383519711239",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","iamKylaSamuel",15,TRUE,FALSE,NA,NA
"RT @Amchizzy: Whitemoney: Where are the three musketeers  Nini, Arin and Peace? #BBNaija

This man killing me 🤣🤣🤣 to think I called them th…",FALSE,0,NA,2021-08-02 08:21:51,FALSE,NA,"1422110383217815552",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Chinenyeumejia1",13,TRUE,FALSE,NA,NA
"RT @MariaChike: Good morning to Biggie’s N90million, Marians, and every Maria supporter, every other person should theirs wherever they wan…",FALSE,0,NA,2021-08-02 08:21:51,FALSE,NA,"1422110381317656577",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","Wytemajek",40,TRUE,FALSE,NA,NA
"RT @dastreetking: Moment the wildcards were revealed to the housemates 😂

#BBNaija #BBNaijaShineYaEye https://t.co/hY1dPQEaaM",FALSE,0,NA,2021-08-02 08:21:50,FALSE,NA,"1422110378067206145",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Dprince_warley",3,TRUE,FALSE,NA,NA
"RT @Boma_akpore: Our Monday! Our man!

#Bravehearts!! Thank you all for the love and support, we love you all. Our man crush Monday!

#BBNa…",FALSE,0,NA,2021-08-02 08:21:50,FALSE,NA,"1422110376968298497",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","chukwuma_doris",9,TRUE,FALSE,NA,NA
"RT @zenmagafrica: If evictions were today, which housemate(s) do you think will leave the #BBNAIJA House???? Rt 👇🏽

Angel 
Arin
Boma
Cross…",FALSE,0,NA,2021-08-02 08:21:49,FALSE,NA,"1422110376313896961",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","zenmagafrica",3,TRUE,FALSE,NA,NA
"RT @OloriSupergal: Truth or Dare game 🎯 

Angel grabbed Pere's d@#k for 5 seconds
Video @BBNaija
#BBNaija 
#OSGBBNAIJA 
#BBNaijaShineYaEye…",FALSE,0,NA,2021-08-02 08:21:48,FALSE,NA,"1422110370907492352",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","oluTIMZZY",38,TRUE,FALSE,NA,NA
"RT @Cutebabe425: Another day to crush on WhiteMoney 🥰
I Stan better vibe abeg, let's follow each other if you love him too abeg
#BBNaija ht…",FALSE,0,NA,2021-08-02 08:21:47,FALSE,NA,"1422110365094133760",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","ovika_keys",148,TRUE,FALSE,NA,NA
"RT @dammiememe: I’ve been seeing tweets saying Nini should date saga and all , so she should just abandon her relationships outside the hou…",FALSE,0,NA,2021-08-02 08:21:47,FALSE,NA,"1422110364330778627",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","goodgirltas",15,TRUE,FALSE,NA,NA
"RT @Amchizzy: Whitemoney: The game will be starting this week definitely. I wanted everyone to stay so we have fun. Pere knew I figured him…",FALSE,0,NA,2021-08-02 08:21:45,FALSE,NA,"1422110357468876806",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","OjbTega",16,TRUE,FALSE,NA,NA
"BBNaija: Yousef kisses Liquorose

#BBNaija #BBNaijaShineYaEye 

https://t.co/66ec8GOcdH",FALSE,0,NA,2021-08-02 08:21:44,FALSE,NA,"1422110352175636485",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","JustNewsline",0,FALSE,FALSE,NA,NA
"RT @pandafooties: Hello guys, I sell shirts. 

Your quality thrifted designer’s shirts are available as seen ✅

Price : #3,500
Dm to order…",FALSE,0,NA,2021-08-02 08:21:43,FALSE,NA,"1422110349038211077",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","X_eenat",30,TRUE,FALSE,NA,NA
"RT @his_victorious: Whitemoney is the true definition of Igbo boy,money comes first,every other things second.

Whitemoney: if dem give me…",FALSE,0,NA,2021-08-02 08:21:42,FALSE,NA,"1422110345422770177",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","BadUncleFrank",1,TRUE,FALSE,NA,NA
"RT @Munaluvz: Pere leave White money alone u fool 😡😡😡😡😡#BBNaija",FALSE,0,NA,2021-08-02 08:21:41,FALSE,NA,"1422110341799059458",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Darling40575781",2,TRUE,FALSE,NA,NA
"@nytimes The $BED is an aggregate product of the #Bitcoin   #Ethereum and the $DPI. Having done over 30% in its fir… https://t.co/2NUWsg3j9N",FALSE,0,"nytimes",2021-08-02 08:21:41,TRUE,"1422109920330227712","1422110339467026433","807095","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Khislev",0,FALSE,FALSE,NA,NA
