"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Amchizzy: Cross: I know for a fact, I belong to the street and the street is my way and anyone that is for the street, we all allign. #…",FALSE,0,NA,2021-07-31 13:04:56,FALSE,NA,"1421456847656132611",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Osuashi_",31,TRUE,FALSE,NA,NA
"RT @Juilet51274236: Whitemoney can literally do everything I love it #BBnaija",FALSE,0,NA,2021-07-31 13:04:55,FALSE,NA,"1421456844845895682",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","MyGoshen_",4,TRUE,FALSE,NA,NA
"RT @faithfulgirlie: How guys want to be treated at home 😂🙌🙄🤡
True or false?

#BBNaija https://t.co/THMVWGVLdq",FALSE,0,NA,2021-07-31 13:04:55,FALSE,NA,"1421456843843543040",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","iamrooftop_",215,TRUE,FALSE,NA,NA
"RT @Amazingsekemi: All of them wants to do drama 🤦🏿‍♂️🤦🏿‍♂️🤦🏿‍♂️.. laycon and vee go don drop 30seconds gbedu #BBNaija",FALSE,0,NA,2021-07-31 13:04:55,FALSE,NA,"1421456841402372101",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","EfyaiCON",17,TRUE,FALSE,NA,NA
"RT @EdnutBharbz: Nini's group killed it #BBNaija",FALSE,0,NA,2021-07-31 13:04:55,FALSE,NA,"1421456841331154949",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","Gina64715992",3,TRUE,FALSE,NA,NA
"Which team deserve to win #BBNaija",FALSE,0,NA,2021-07-31 13:04:54,FALSE,NA,"1421456840429350913",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","jaznira",0,FALSE,FALSE,NA,NA
"Big brother Naija official Twitter handle is not active this season #BBNaija",FALSE,0,NA,2021-07-31 13:04:54,FALSE,NA,"1421456838676172807",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Igbinedionegho5",0,FALSE,FALSE,NA,NA
"RT @liquorose_: I dey Deliver pass MidWife😂, say my name! LIQUOROSE 👑🌹 #BBNaija",FALSE,0,NA,2021-07-31 13:04:53,FALSE,NA,"1421456833164845056",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Tife_fabunmi",1,TRUE,FALSE,NA,NA
"RT @Isab33lla: Nini and her auchi accent mixed with that raspy voice, I love it so much ehnn,e dey always sweet me to hear. Love it so much…",FALSE,0,NA,2021-07-31 13:04:52,FALSE,NA,"1421456832665694211",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","Gina64715992",6,TRUE,FALSE,NA,NA
"Yerins' team is just like him, polymaths. Too much going on #BBNaija",FALSE,0,NA,2021-07-31 13:04:51,FALSE,NA,"1421456826361683971",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Itz_Tee91",0,FALSE,FALSE,NA,NA
"RT @Officialskicedj: Angel official Twitter handle @theangeljbsmith  follow her get her to 10k 🙏 #BBNaija https://t.co/sJolNkZKxb",FALSE,0,NA,2021-07-31 13:04:50,FALSE,NA,"1421456821391437826",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","venustrapflyy",17,TRUE,FALSE,NA,NA
"RT @Abiolaflawless: Liqourose fanbase is legit and she’s winning the show!! 

#BBNaija",FALSE,0,NA,2021-07-31 13:04:48,FALSE,NA,"1421456813619351553",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Na_mel19",4,TRUE,FALSE,NA,NA
"Will any other housemate sulk pass OG Mazi? Let's watch and see #BBNaija https://t.co/umKZHKmZLC",FALSE,0,NA,2021-07-31 13:04:48,FALSE,NA,"1421456812201676800",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","HeyAnoosha",0,FALSE,FALSE,NA,NA
"RT @onlyonehottie: I love listening to nini’s pidgin English 😂😂#BBNaija",FALSE,0,NA,2021-07-31 13:04:47,FALSE,NA,"1421456808758087682",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","Gina64715992",1,TRUE,FALSE,NA,NA
"I dey Deliver pass MidWife😂, say my name! LIQUOROSE 👑🌹 #BBNaija",FALSE,1,NA,2021-07-31 13:04:46,FALSE,NA,"1421456804475805700",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","liquorose_",1,FALSE,FALSE,NA,NA
"The winner is whitemoney &amp; yusef 🤣🤣🤣 #BBNaija",FALSE,0,NA,2021-07-31 13:04:46,FALSE,NA,"1421456804341587973",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","biancaalex3",0,FALSE,FALSE,NA,NA
"Team black for me....Whitemoney and yousef 👏👏👏#BBNaija",FALSE,1,NA,2021-07-31 13:04:46,FALSE,NA,"1421456804035317768",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","spicey80ng",0,FALSE,FALSE,NA,NA
"RT @Cracylyn: Tega’s husband is the one sending videos to our WhatsApp group. Tega’s WhatsApp group I said let me join today o! 😂😂 I love t…",FALSE,0,NA,2021-07-31 13:04:45,FALSE,NA,"1421456803334873088",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","pheelypah",33,TRUE,FALSE,NA,NA
"RT @pereandmaria: @Gloverapp you guys should sign Pere o... See this ❤️:

#BBNaija https://t.co/GZb9nryjbg",FALSE,0,NA,2021-07-31 13:04:44,FALSE,NA,"1421456799035805702",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","PereEgbi",5,TRUE,FALSE,NA,NA
"RT @SeyiGod: Am i the only one who laughs each time i see Cross ? That Nigga makes everything funny. One of my fave contestants so far #BBN…",FALSE,0,NA,2021-07-31 13:04:44,FALSE,NA,"1421456796632371208",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Omo_Alakan",1,TRUE,FALSE,NA,NA
"RT @faithfulgirlie: How guys want to be treated at home 😂🙌🙄🤡
True or false?

#BBNaija https://t.co/THMVWGVLdq",FALSE,0,NA,2021-07-31 13:04:44,FALSE,NA,"1421456796322050053",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Daddy_coooll",215,TRUE,FALSE,NA,NA
