"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @BBNUpdate6: #BBNaija Top 3 ??‼️ Maria  Whitemoney Liquourose 🔥🔥 https://t.co/IP6ciCHdZs",FALSE,0,NA,2021-07-28 17:07:24,FALSE,NA,"1420430701296594950",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","thandi_dikhoba1",8,TRUE,FALSE,NA,NA
"RT @officialntino: White Money just fell down with NINI for runway ah...😭😭😭 #BBNaijaShineYaEyes #bbnaija https://t.co/pIlH14HIIk",FALSE,0,NA,2021-07-28 17:07:24,FALSE,NA,"1420430700575084549",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","SchooLBoyKesh",203,TRUE,FALSE,NA,NA
"RT @Ann5_: I really like Angel.

#BBNaija",FALSE,0,NA,2021-07-28 17:07:23,FALSE,NA,"1420430699107074048",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Ladymoi3",5,TRUE,FALSE,NA,NA
"RT @Auta_Musa_: Please don’t scroll without retweeting, I beg you in the of Allah.

Authentic Loafers 👞 
N18000 only.

Whatsapp or 08038899…",FALSE,0,NA,2021-07-28 17:07:23,FALSE,NA,"1420430698616328199",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","IliyasAbdul5",3,TRUE,FALSE,NA,NA
"Yousef na Ghost inside this show.

#BBNaija",FALSE,0,NA,2021-07-28 17:07:22,FALSE,NA,"1420430692354244622",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","owosenii",0,FALSE,FALSE,NA,NA
"Angel is singing sweet rubbish #BBNaija",FALSE,0,NA,2021-07-28 17:07:21,FALSE,NA,"1420430690974371844",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","TatinMash",0,FALSE,FALSE,NA,NA
"RT @BbNaija_Gossip: Maria struggling so hard not to talk...

😂😂
#BBNaija https://t.co/v7e5BRGnEt",FALSE,0,NA,2021-07-28 17:07:21,FALSE,NA,"1420430690961825793",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","anastec1",2,TRUE,FALSE,NA,NA
"RT @Tundedenut: My president with Maria #whitemoney  #BBNaija https://t.co/xw0G28OfZZ",FALSE,0,NA,2021-07-28 17:07:21,FALSE,NA,"1420430690538115074",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","anastec1",10,TRUE,FALSE,NA,NA
"It's okay.. It's okay.. Let's move to other things.

You sabi the song no mean say you sabi sing am.. Issokay move 

#BBNaija",FALSE,0,NA,2021-07-28 17:07:21,FALSE,NA,"1420430688101220357",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","temjoshezzy",0,FALSE,FALSE,NA,NA
"RT @_coco254: Maria is being talked about other things aside from her looks,lets give credit where it’s due without hating, she is giving u…",FALSE,0,NA,2021-07-28 17:07:20,FALSE,NA,"1420430687610548234",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","anastec1",6,TRUE,FALSE,NA,NA
"RT @BBNUpdate6: #BBNaija Maria said I hope you all know its a joke right 😂then Whitemoney say lbefore wholl take you serios 😂😂😂  #BBNaija h…",FALSE,0,NA,2021-07-28 17:07:20,FALSE,NA,"1420430687597903873",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","anastec1",8,TRUE,FALSE,NA,NA
"RT @theangeljbsmith: Good morning Angels 💁🏽‍♀️!!!
With all the fake accounts coming up, we need to clear the air and set things straight!…",FALSE,0,NA,2021-07-28 17:07:20,FALSE,NA,"1420430687447003139",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","niggasisnotshit",84,TRUE,FALSE,NA,NA
"RT @RealityTving: White Money dared Maria not to talk for the next 1 hour and he goes ahead to cracks jokes that could make her talk
#BBNai…",FALSE,0,NA,2021-07-28 17:07:20,FALSE,NA,"1420430685915992064",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","anastec1",3,TRUE,FALSE,NA,NA
"RT @Zamaswati_M: #BBNaija
Maria you can't even last 5 minutes without talking imagine 1 hour 🤣🤣 babe abeg https://t.co/u4cdbLFQVd",FALSE,0,NA,2021-07-28 17:07:19,FALSE,NA,"1420430681893752835",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","anastec1",6,TRUE,FALSE,NA,NA
"RT @nollyabcxyz: Whitemoney - Maria is the cruise mistress, she will even call her gateman 'babe'

😂 

 #BBNaija",FALSE,0,NA,2021-07-28 17:07:19,FALSE,NA,"1420430681893740545",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","anastec1",5,TRUE,FALSE,NA,NA
"RT @BlazeTraitor: You cannot catch Maria slipping 😂. She will just laugh at you and continue cruising  #BBNaija https://t.co/4ULNL92vCf",FALSE,0,NA,2021-07-28 17:07:19,FALSE,NA,"1420430681738522624",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","anastec1",8,TRUE,FALSE,NA,NA
