"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @omeenwa: Maria is a GOAT.

Jackie: Maria, what are you going to wear(for the party)

Maria: (straight face) I'm like confused between m…",FALSE,0,NA,2021-07-31 17:47:44,FALSE,NA,"1421528015922737156",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Pengi21",16,TRUE,FALSE,NA,NA
"RT @sante_eeee: I like the fact that Maria used the duvet to cover her face when she went to sleep 😂
There’s a possibility she can hear the…",FALSE,0,NA,2021-07-31 17:47:43,FALSE,NA,"1421528012735012871",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","oyedele_hannah",1,TRUE,FALSE,NA,NA
"RT @BBNUpdate6: #BBNaija

Pere finished Nini with one line
\"If it wasn't deep you wouldn't be yelling\"

🤣🤣🤣 #bbnaija https://t.co/sqxRAVsqll",FALSE,0,NA,2021-07-31 17:47:41,FALSE,NA,"1421528002807144450",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Mercyco75582721",8,TRUE,FALSE,NA,NA
"#BBNaija I am sure she can hear them . 

Must be so much pressure.

I feel for my baby maria😔 https://t.co/m3hmQFSGUp",FALSE,0,NA,2021-07-31 17:47:40,FALSE,NA,"1421528001393610754",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","lopezlomasi",0,FALSE,FALSE,NA,NA
"RT @AndiMbhele: Nini is so expressive (borderline rude) &amp; I don’t think it’ll be good for her in the house. #Bbnaija",FALSE,0,NA,2021-07-31 17:47:40,FALSE,NA,"1421528000185573378",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","TeeladVibes",1,TRUE,FALSE,NA,NA
"RT @anambraweirdo: Sorry in advance oh
Which of them have the biggest fanbase among the ladies? #BBNaija",FALSE,0,NA,2021-07-31 17:47:38,FALSE,NA,"1421527991528697856",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","iloveJadenE",34,TRUE,FALSE,NA,NA
"RT @Mari_glamz: Kayode please I’m tired of these girls. Even the boring ones are talking #BBNaija",FALSE,0,NA,2021-07-31 17:47:37,FALSE,NA,"1421527985665028097",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Omosheni7",1,TRUE,FALSE,NA,NA
"God of #EndSARS protesters we thank you oo. Continue to put confusion in their midst!

Abba Kyari went from denying… https://t.co/LGDChtPKuR",FALSE,0,NA,2021-07-31 17:47:36,TRUE,NA,"1421527984821915652",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Killshotonpoint",1,FALSE,FALSE,NA,NA
"Have they started dragging the group discussing wildcard yet??? 👀👀 #bbnaija
These girls will not stop discussing it, better get used to it.",FALSE,0,NA,2021-07-31 17:47:34,FALSE,NA,"1421527973098831883",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","motexmaryam",0,FALSE,FALSE,NA,NA
"RT @Spankkyy_: Video of Maria Driving In her Bentley Pops up online, This girl is Rich 🤑 #BBNaija https://t.co/YkgFQyF5oh",FALSE,0,NA,2021-07-31 17:47:34,FALSE,NA,"1421527972494946304",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Afophenade3",26,TRUE,FALSE,NA,NA
"Cruise commentators Oya do justice to this 😂 #bbnaija2021 #bbnaija #9jabooster https://t.co/05kPbLEjc6",FALSE,1,NA,2021-07-31 17:47:29,FALSE,NA,"1421527955646435330",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","9jabooster",0,FALSE,FALSE,NA,NA
"RT @kayodeslawyer: Okay back to hyping Maria, did you see her cat walk imitating Nini 🤣🦋💙  #BBNaija https://t.co/elgQ5SJI2B",FALSE,0,NA,2021-07-31 17:47:28,FALSE,NA,"1421527951284260865",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","MHforBadBitchhh",6,TRUE,FALSE,NA,NA
"RT @Aseh_Jemi: @BBNUpdate6 https://t.co/equEd6vVqM
Tap the link to follow Angel's Instagram 

#PartyWithAngel
#BBNaija",FALSE,0,NA,2021-07-31 17:47:28,FALSE,NA,"1421527950500012042",NA,"<a href=\"https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels\" rel=\"nofollow\">Python Time</a>","Africanjini",1,TRUE,FALSE,NA,NA
"Last years nomination process was better. I liked that the public got to decide who their top ten or top 12 got to.… https://t.co/bqnYl2Kyso",FALSE,0,NA,2021-07-31 17:47:27,TRUE,NA,"1421527945563328512",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","PettyAndShady01",0,FALSE,FALSE,NA,NA
"@Preciou72557086 #Bbnaija season6 Housemates still deciding who the widecard is.

https://t.co/9oOyO1rmlC",FALSE,0,"Preciou72557086",2021-07-31 17:47:27,FALSE,"1420867394281558018","1421527945135415304","1384979107461664772","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","NUK_FOTOS",0,FALSE,FALSE,NA,NA
"The wild card is sleeping Maria Iam praying for u #BBNaija",FALSE,0,NA,2021-07-31 17:47:27,FALSE,NA,"1421527944988594182",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","bopbaby4",0,FALSE,FALSE,NA,NA
"RT @Gina64715992: Of nini is up we should vote guys. She should stay I want to see the drama she will give pera more after he nominated her…",FALSE,0,NA,2021-07-31 17:47:25,FALSE,NA,"1421527937216622592",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","AdaobiMarvis",3,TRUE,FALSE,NA,NA
"RT @she_is_aries_: On a more serious note, Angel go worry una this season and I’m here for it.
 #BBNaija https://t.co/o87GPdz8uT",FALSE,0,NA,2021-07-31 17:47:24,FALSE,NA,"1421527931604590598",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","Jenniferaa1",1,TRUE,FALSE,NA,NA
"RT @MHforBadBitchhh: Maria is such a girls girl. God I love her. I can't explain.

#Bbnaija",FALSE,0,NA,2021-07-31 17:47:24,FALSE,NA,"1421527931524894721",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Pengi21",12,TRUE,FALSE,NA,NA
"RT @rudebwoypee24: This red room boring abeg make them show another thing #BBNaija",FALSE,0,NA,2021-07-31 17:47:22,FALSE,NA,"1421527922440085514",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","AmeboCentralng",1,TRUE,FALSE,NA,NA
"Nini is so expressive (borderline rude) &amp; I don’t think it’ll be good for her in the house. #Bbnaija",FALSE,0,NA,2021-07-31 17:47:21,FALSE,NA,"1421527920980504576",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","AndiMbhele",1,FALSE,FALSE,NA,NA
"RT @Dili_nwachukwu: Omooo.. If the housemate happen to figure out who the wildcards are 'cause of this Nini/Pere altercation,I'll be rootin…",FALSE,0,NA,2021-07-31 17:47:21,FALSE,NA,"1421527918287593475",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","TeeladVibes",2,TRUE,FALSE,NA,NA
"RT @TheonlyAhose: As an Edo girl with a small voice, I understand Nini I mean you musthear me #BBNaija",FALSE,0,NA,2021-07-31 17:47:18,FALSE,NA,"1421527909358055424",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","AdaobiMarvis",3,TRUE,FALSE,NA,NA
"RT @HeyAnoosha: There's absolutely nothing you can shame Angel about so you've decided to talk about how she's \"always\" looking at cameras.…",FALSE,0,NA,2021-07-31 17:47:18,FALSE,NA,"1421527908338831363",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","AbuRafia8",2,TRUE,FALSE,NA,NA
