"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @giovanni_pius: My Queen in her palace...... Maria may you reign till the 99th day
#BBNaija https://t.co/Ml8vW0T4r1",FALSE,0,NA,2021-08-10 02:33:27,FALSE,NA,"1424921809921748998",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","oyedele_hannah",20,TRUE,FALSE,NA,NA
"Cross knows he's just out for one thing. No guy in that house can handle Angel. She's not there to be handled, she'… https://t.co/BaSjM5kGpy",FALSE,0,NA,2021-08-10 02:33:27,TRUE,NA,"1424921809154191386",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","MaiaOma",0,FALSE,FALSE,NA,NA
"Emmanuel you gat this  #BBNaija",FALSE,0,NA,2021-08-10 02:33:27,FALSE,NA,"1424921809103859742",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Tapiwah_Sakala_",0,FALSE,FALSE,NA,NA
"Whether you nominate Queen LIQUOROSE or not, she will still triumph💅🏽🌹 #BBNaija #BBNaijaSeason6 https://t.co/wBnku8gRrl",FALSE,0,NA,2021-08-10 02:33:27,FALSE,NA,"1424921808747307008",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","iluvshayodavids",0,FALSE,FALSE,NA,NA
"RT @anthonia04: Emmanuel and Liquorose might be boring but their whatever they are doing is healthy AF #BBNaijaSeason6 #BBNaija",FALSE,0,NA,2021-08-10 02:33:25,FALSE,NA,"1424921800505430020",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","NengiNengiStan1",4,TRUE,FALSE,NA,NA
"RT @AntiXenophobian: When an Angel couldn't give Sammie peace of mind, Sammy went to meet PEACE herself.😁
#BBNaija https://t.co/ZysYN6AqT4",FALSE,0,NA,2021-08-10 02:33:23,FALSE,NA,"1424921793249390634",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","khaybright",2,TRUE,FALSE,NA,NA
"Acura MDX Spare key programming. Send us a booking today. 
#ncvauto #acura #key #keyfob #BBNaija https://t.co/nTqpZTJAyv",FALSE,0,NA,2021-08-10 02:33:22,FALSE,NA,"1424921788497158145",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","ncvauto",0,FALSE,FALSE,NA,NA
"RT @yerinsabraham: Team POLYMATHS
Thanks for all the love.
This is our symbol

🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆
Thank you so much

#Bbnaija…",FALSE,0,NA,2021-08-10 02:33:22,FALSE,NA,"1424921787851321364",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","DengiBaro",251,TRUE,FALSE,NA,NA
"WM really wants Maria. No wonder his fans were so touched by the nomination and want to paint that he isnt there fo… https://t.co/ctpMwdKlDX",FALSE,0,NA,2021-08-10 02:33:22,TRUE,NA,"1424921786907602950",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","Gorthan_Sir",0,FALSE,FALSE,NA,NA
"Pls help my kid sister.She is seriously hungry,she has developed ulcer already😭 it has been hell since I lost my li… https://t.co/MlcrPPUnCT",FALSE,0,NA,2021-08-10 02:33:21,TRUE,NA,"1424921781836648459",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","kindness_bass75",0,FALSE,FALSE,NA,NA
